id,domain,label,path
41,sky,dog,sky\dog (2).jpg
3,natures,dog,natures\dog (6).jpg
20,room,cat,room\cat\cat (6) .jpg
32,room,hamster,room\hamster\hamster (6) .jpg
18,room,cat,room\cat\cat (4).jpg
38,room,rabbit,room\rabbit\rabbit (8).jpg
43,sky,hamster,sky\hamster (1).jpg
27,room,hamster,room\hamster\hamster (3) .jpg
12,natures,rabbit,natures\rabbit (6) .jpg
15,room,cat,room\cat\cat (3) .jpg
40,sky,cat,sky\cat.jpg
23,room,dog,room\dog\dog (2) .jpg
2,natures,dog,natures\dog (5).jpg
6,natures,hamster,natures\hamster (6) .jpg
48,sky,rabbit,sky\rabbit (11).jpg
25,room,dog,room\dog\dog (3).jpg
5,natures,hamster,natures\hamster (5).jpg
17,room,cat,room\cat\cat (4) .jpg
47,sky,rabbit,sky\rabbit (10).jpg
33,room,rabbit,room\rabbit\rabbit (3).jpg
24,room,dog,room\dog\dog (3) .jpg
39,sky,cat,sky\cat (1).jpg
4,natures,hamster,natures\hamster (5) .jpg
7,natures,rabbit,natures\rabbit (1).jpg
22,room,dog,room\dog\dog (1).jpg
52,sky,rabbit,sky\rabbit (8).jpg
19,room,cat,room\cat\cat (5) .jpg
